# Basic actions
palḫi	palḫiš palḫaš palḫi palḫin palḫaz palḫi	Pithos (large clay jar)	NOUN palḫiš palḫaš palḫi palḫin palḫaz
šuḫḫa	šuḫḫan šuḫḫaš šuḫḫi šuḫḫaz šuḫḫa	Roof	NOUN šuḫḫan šuḫḫaš šuḫḫi šuḫḫan šuḫḫaz
karimmi	karimmi karimnaš karimni karimnaz	Temple	NOUN karimmi karimnaš karimni karimmi karimnaz
šaknuwanza	šaknuwanza	Unclean, not ritually pure; in Hittite religion, interacting with the gods required someone to be free of impurity, both physical and spiritual. Many rituals required washing or bathing before doing something spiritually significant.
<i>U₃</i>	Ù U₃ U3	A cuneiform sign that stands for "and", like the "&" symbol in English
IM	IM	Wind, cardinal direction	DTM
antuḫša	antuḫšaš antuḫši antuḫšan antuḫšaz antuḫša	Person, human being	NOUN antuḫšaš antuḫšaš antuḫši antuḫšan antuḫšaz
[Number]	1 2 3 4 5 6 7 8 9 20 2-uš	Like in English, Hittite scribes usually wrote simple symbols for the numbers instead of the full words.
0	0	There was no actual symbol for zero in cuneiform; they just left an empty space on the tablet when necessary.
parā	parā	Onward, forth, forward
laḫḫa	laḫḫaš laḫḫi laḫḫan laḫḫaz laḫḫa	Adventure	NOUN laḫḫaš laḫḫaš laḫḫi laḫḫan laḫḫaz
Ḫattušumna	Ḫattušumnaš Ḫattušumni Ḫattušumnan Ḫattušumnaz Ḫattušumna	Hittite (adjective); literally, "from the city of Ḫattuša"	NOUN Ḫattušumnaš Ḫattušumnaš Ḫattušumni Ḫattušumnan Ḫattušumnaz
<i>ANA</i>	ANA	To, toward (marks the dative case for logograms)	AKK
<i>ŠA</i>	ŠA	Of (marks the genitive case for logograms)	AKK
<i>IŠTU</i>	IŠTU	From (marks the ablative case for logograms)	AKK
ḫappira	ḫappiraš ḫappiri ḫappiran ḫappiraz	City	NOUN ḫappiraš ḫappiraš ḫappiri ḫappiran ḫappiraz
kurur	kurur	hostile
gurta	gurtaš gurti gurtan gurtaz gurta	Citadel, acropolis (the better-defended upper part of a city with all the temples and palaces)	NOUN gurtaš gurtaš gurti gurtan gurtaz
ḫuwant	ḫuwanza ḫuwantaš ḫuwanti ḫuwantan ḫuwantaz ḫuwant	Wind, cardinal direction	NOUN ḫuwanza ḫuwantaš ḫuwanti ḫuwantan ḫuwantaz
šalli	šalliš šallayaš šalli šallin šallayaz	Large, great; as a compass direction, south (the south wind was "the great wind")	NOUN šalliš šallayaš šalli šallin šallayaz
taršmena	taršmenaš taršmeni taršmenan taršmenaz taršmena	North; this word is more obscure than the other compass directions, so if it has any meaning beyond "north", we don't know it. Even its pronunciation is uncertain.	NOUN taršmenaš taršmenaš taršmeni taršmenan taršmenaz
ekuna	ekunaš ekuni ekunan ekunaz ekuna	Cold; as a compass direction, east (the east wind was "the cold wind")	NOUN ekunaš ekunaš ekuni ekunan ekunaz
appezzi	appezziš appezziyaš appezzi appezzin appezziyaz	Rear, back (adjective); as a compass direction, west (the west wind was "the back wind")	NOUN appezziš appezziyaš appezzi appezzin appezziyaz
šāra	šāra	Up, above

# Tablet 2
uwanun	uwanun uet	I came (to a place: dative)	VERB uwanun uet
ḫila	ḫila ḫilaš ḫili ḫilan ḫilaz	Courtyard, enclosed outdoor space; in astrological contexts, "halo"	NOUN ḫilaš ḫilaš ḫili ḫilan ḫilaz
pēr	pēr parnaš parni parnaz per	House, building	NOUN pēr parnaš parni pēr parnaz
TUG₂	TUG₂ TUG2 TÚG	Garment	LOGO
šakuni	šakuni šakuniš šakuniyaš šakuniya šakunin šakunin šakuniyaz	Well, spring (of water)	NOUN šakuniš šakuniyaš šakuniya šakunin šakuniyaz
lūli	lūli lūliš lūliyaš lūliya lūlin lūliyaz	Pool, lake, basin, body of water	NOUN lūliš lūliyaš lūliya lūlin lūliyaz
lukkan	lukkan lukkandaš lukkandi lukkandaz	Burnt	NOUN lukkan lukkandaš lukkandi lukkan lukkandaz
LU₂	LU₂ LU2 LÚ LU₂.MEŠ LU2.MEŠ LÚ.MEŠ	Man (profession, not individual name; LU₂.MEŠ is sometimes used as a plural)	DTM
